Region,Council,Swim site,Date,Time,Enterococci (cfu/100mL),Water temperature (°C),Conductivity (µS/cm),Latitude,Longitude
Sydney City,Waverley Council,Bondi Beach,20/11/2023,07:55:00,15,20,52100,-33.891157000,151.278267000
Sydney City,Waverley Council,Bondi Beach,13/11/2023,07:48:00,290,22,54100,-33.891157000,151.278267000
Sydney City,Randwick City Council,Little Bay Beach,13/11/2023,09:46:00,1000,22,53900,-33.979882000,151.251417000
Sydney City,Randwick City Council,South Maroubra Rockpool,13/11/2023,09:11:00,14,22,53400,-33.953515000,151.258009000
Sydney City,Randwick City Council,Malabar Beach,13/11/2023,09:31:00,100,21,53400,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Beach,13/11/2023,09:08:00,10,21,54100,-33.951378000,151.257322000
Sydney City,Randwick City Council,Coogee Beach,13/11/2023,08:43:00,1200,20,54200,-33.920760000,151.258170000
Sydney City,Randwick City Council,Clovelly Beach,13/11/2023,08:30:00,260,21,53400,-33.914578000,151.267659000
Sydney City,Randwick City Council,Gordons Bay (East),13/11/2023,08:34:00,480,22,53400,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,13/11/2023,08:00:00,50,20,53100,-33.900805000,151.270734000
Sydney City,Randwick City Council,Maroubra Beach,13/11/2023,09:03:00,210,20,53400,-33.948896000,151.257459000
Sydney City,Waverley Council,Bronte Beach,13/11/2023,08:12:00,220,22,54000,-33.903087000,151.268790000
Sydney City,Waverley Council,Bronte Beach,07/11/2023,08:18:00,50,19,53500,-33.903087000,151.268790000
Sydney City,Randwick City Council,Maroubra Beach,07/11/2023,09:22:00,20,20,53300,-33.948896000,151.257459000
Sydney City,Randwick City Council,Gordons Bay (East),07/11/2023,08:36:00,10,19,53700,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,07/11/2023,08:04:00,6,19,53500,-33.900805000,151.270734000
Sydney City,Randwick City Council,Clovelly Beach,07/11/2023,08:28:00,10,19,53500,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,07/11/2023,08:50:00,80,19,53400,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Beach,07/11/2023,09:30:00,5,21,52700,-33.951378000,151.257322000
Sydney City,Randwick City Council,Malabar Beach,07/11/2023,09:53:00,14,20,54400,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Rockpool,07/11/2023,09:38:00,25,21,52700,-33.953515000,151.258009000
Sydney City,Waverley Council,Bondi Beach,07/11/2023,07:49:00,10,19,52900,-33.891157000,151.278267000
Sydney City,Randwick City Council,Little Bay Beach,07/11/2023,10:05:00,32,21,52400,-33.979882000,151.251417000
Sydney City,Randwick City Council,Little Bay Beach,01/11/2023,09:51:00,13,18,53800,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,01/11/2023,07:37:00,330,18,53600,-33.891157000,151.278267000
Sydney City,Randwick City Council,South Maroubra Rockpool,01/11/2023,09:14:00,30,18,53400,-33.953515000,151.258009000
Sydney City,Randwick City Council,Malabar Beach,01/11/2023,09:31:00,42,18,53800,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Beach,01/11/2023,09:10:00,5,19,53500,-33.951378000,151.257322000
Sydney City,Randwick City Council,Coogee Beach,01/11/2023,08:37:00,48,18,53600,-33.920760000,151.258170000
Sydney City,Randwick City Council,Clovelly Beach,01/11/2023,08:22:00,7,18,53500,-33.914578000,151.267659000
Sydney City,Randwick City Council,Gordons Bay (East),01/11/2023,08:29:00,15,18,53500,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,01/11/2023,07:58:00,36,18,53700,-33.900805000,151.270734000
Sydney City,Randwick City Council,Maroubra Beach,01/11/2023,08:57:00,8,19,54000,-33.948896000,151.257459000
Sydney City,Waverley Council,Bronte Beach,01/11/2023,08:11:00,44,18,53400,-33.903087000,151.268790000
Sydney City,Waverley Council,Bronte Beach,25/10/2023,08:22:00,0,19,54000,-33.903087000,151.268790000
Sydney City,Randwick City Council,Maroubra Beach,25/10/2023,09:16:00,3,19,54400,-33.948896000,151.257459000
Sydney City,Randwick City Council,Gordons Bay (East),25/10/2023,08:44:00,0,19,54200,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,25/10/2023,08:09:00,2,19,54100,-33.900805000,151.270734000
Sydney City,Randwick City Council,Clovelly Beach,25/10/2023,08:35:00,0,19,54200,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,25/10/2023,08:57:00,4,19,54200,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Beach,25/10/2023,09:31:00,1,19,54300,-33.951378000,151.257322000
Sydney City,Randwick City Council,Malabar Beach,25/10/2023,09:50:00,0,20,54200,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Rockpool,25/10/2023,09:29:00,1,19,54300,-33.953515000,151.258009000
Sydney City,Randwick City Council,Little Bay Beach,25/10/2023,10:08:00,4,20,54400,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,25/10/2023,07:50:00,0,19,53800,-33.891157000,151.278267000
Sydney City,Randwick City Council,Little Bay Beach,19/10/2023,09:53:00,7,19,54200,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,19/10/2023,07:42:00,7,18,55000,-33.891157000,151.278267000
Sydney City,Randwick City Council,South Maroubra Rockpool,19/10/2023,09:22:00,2,18,54000,-33.953515000,151.258009000
Sydney City,Randwick City Council,Malabar Beach,19/10/2023,09:38:00,0,19,54300,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Beach,19/10/2023,09:12:00,0,18,54000,-33.951378000,151.257322000
Sydney City,Randwick City Council,Coogee Beach,19/10/2023,08:46:00,8,18,54000,-33.920760000,151.258170000
Sydney City,Randwick City Council,Clovelly Beach,19/10/2023,08:23:00,3,18,53700,-33.914578000,151.267659000
Sydney City,Waverley Council,Tamarama Beach,19/10/2023,07:59:00,25,18,54100,-33.900805000,151.270734000
Sydney City,Randwick City Council,Gordons Bay (East),19/10/2023,08:32:00,0,18,54000,-33.915646000,151.264558000
Sydney City,Randwick City Council,Maroubra Beach,19/10/2023,09:06:00,6,18,53700,-33.948896000,151.257459000
Sydney City,Waverley Council,Bronte Beach,19/10/2023,08:12:00,17,18,53900,-33.903087000,151.268790000
Sydney City,Waverley Council,Bronte Beach,13/10/2023,07:07:00,6,17,53400,-33.903087000,151.268790000
Sydney City,Randwick City Council,Maroubra Beach,13/10/2023,07:43:00,3,18,53900,-33.948896000,151.257459000
Sydney City,Randwick City Council,Gordons Bay (East),13/10/2023,07:24:00,17,17,53400,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,13/10/2023,06:53:00,280,16,53700,-33.900805000,151.270734000
Sydney City,Randwick City Council,Clovelly Beach,13/10/2023,07:18:00,0,16,53400,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,13/10/2023,07:32:00,10,18,54000,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Beach,13/10/2023,07:51:00,1,17,53400,-33.951378000,151.257322000
Sydney City,Randwick City Council,Malabar Beach,13/10/2023,08:05:00,35,17,53500,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Rockpool,13/10/2023,07:53:00,0,19,53900,-33.953515000,151.258009000
Sydney City,Randwick City Council,Little Bay Beach,13/10/2023,08:18:00,1,18,53400,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,13/10/2023,06:42:00,0,17,53500,-33.891157000,151.278267000
Sydney City,Waverley Council,Bondi Beach,09/10/2023,07:45:00,2,17,51600,-33.891157000,151.278267000
Sydney City,Randwick City Council,Little Bay Beach,09/10/2023,10:08:00,1,18,50300,-33.979882000,151.251417000
Sydney City,Randwick City Council,South Maroubra Rockpool,09/10/2023,09:33:00,0,18,50100,-33.953515000,151.258009000
Sydney City,Randwick City Council,Malabar Beach,09/10/2023,09:53:00,0,18,52400,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Beach,09/10/2023,09:28:00,2,18,52100,-33.951378000,151.257322000
Sydney City,Randwick City Council,Coogee Beach,09/10/2023,08:51:00,0,18,52000,-33.920760000,151.258170000
Sydney City,Randwick City Council,Clovelly Beach,09/10/2023,08:30:00,0,17,51900,-33.914578000,151.267659000
Sydney City,Randwick City Council,Gordons Bay (East),09/10/2023,08:39:00,0,18,52000,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,09/10/2023,08:04:00,0,17,51500,-33.900805000,151.270734000
Sydney City,Randwick City Council,Maroubra Beach,09/10/2023,09:11:00,3,18,52600,-33.948896000,151.257459000
Sydney City,Waverley Council,Bronte Beach,09/10/2023,08:19:00,1,17,51800,-33.903087000,151.268790000
Sydney City,Waverley Council,Bronte Beach,03/10/2023,08:04:00,3,18,51600,-33.903087000,151.268790000
Sydney City,Randwick City Council,Maroubra Beach,03/10/2023,09:09:00,2,19,49600,-33.948896000,151.257459000
Sydney City,Randwick City Council,Gordons Bay (East),03/10/2023,08:22:00,0,18,32010,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,03/10/2023,07:46:00,0,18,51500,-33.900805000,151.270734000
Sydney City,Randwick City Council,Clovelly Beach,03/10/2023,08:15:00,0,18,51900,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,03/10/2023,08:35:00,6,19,52100,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Beach,03/10/2023,09:19:00,2,19,51700,-33.951378000,151.257322000
